G CODE,DESCRIPTION
G00,PROGRAM STOP
G01,OPTIONAL STOP
G02,END OF PROGRAM
G03,SPINDLE CLOCKWISE
G04,SPINDLE COUNTER CLOCK WISE
G05,SPINDLE STOP
G06,AUTOMATIC TOOL CHANGE
G07,CUTTING AIR BLOW ON
G08,COOLANT ON
G09,M07/M08/M18 OFF
G10,4TH AXIS CLAMP
G11,4TH AXIS UNCLAMP
G18,CTS ON
G19,SPINDLE ORIENTATION
G30,PROGRAM RESET & REWIND
G38,FLUSH COOLANT ON
G39,FLUSH COOLANT OFF
G50,CONVEYOR ON
G51,CONVEYOR OFF
G98,SUB- PROGRAM CALL
G99,SUB- PROGRAM END
G200,SMALL TOOL TABLE RESET
G201,1 BIG TOOL ENABLE
G202,2 BIG TOOL ENABLE
G203,3 BIG TOOL  ENABLE
G204,4 BIG TOOL ENABLE
