L0,SPINDLE COOLER ENABLE
L2,COOLANT THROUGH SPINDLE ENABLE
L3,CHIP CONVEYOR ENABLE
L4,FLUSH COOLANT ENABLE
L5,OIL SKIMMER ENABLE
L7,GREASE LUB ENABLE
L10,ATC DISABLE
L15,M00/M01 AMBER
L17,AUTO POWER OFF ENABLE
L20,AUTOREF ENABLE
L22,NEW MOP
L23,TAIWAN MOP
L30,POT DOWN T CODE ENABLE
L35,LINE MONITOR
L40,INDEXER STATION SEL1
L41,INDEXER STATION SEL2
L42,INDEXER PARITY ENBALE
L43,INDEXER WORKAT Z HOME INTERLOCK
L50,ATC BYPASS
L51 ,AIR ALARM BYPASS
L110,ATC STEP 1
L111,ATC STEP 2
L112,ATC STEP 3
L113,ATC STEP 4
L114,ATC STEP 5
L115,ATC STEP 6
L116,ATC STEP 7
L117,ATC STEP 8
L120,ATC STEP 9
L121,ATC STEP 10
L126,DURING M06 DATA CHANGE COMPLETED
L127,SPECIAL M06
L130,SPINDLE DE CLAMP 
L140,A AXIS CLAMP DECLAMP 
L141,B AXIS CLAMP DECLAMP
